dato,skole,elevdag,sfodag,kommentar
2016-06-01,Bærland skole,Ja,Ja,
2016-06-02,Bærland skole,Ja,Ja,
2016-06-03,Bærland skole,Ja,Ja,
2016-06-04,Bærland skole,Nei,Nei,Lørdag
2016-06-05,Bærland skole,Nei,Nei,Søndag
2016-06-06,Bærland skole,Ja,Ja,
2016-06-07,Bærland skole,Ja,Ja,
2016-06-08,Bærland skole,Ja,Ja,
2016-06-09,Bærland skole,Ja,Ja,
2016-06-10,Bærland skole,Ja,Ja,
2016-06-11,Bærland skole,Nei,Nei,Lørdag
2016-06-12,Bærland skole,Nei,Nei,Søndag
2016-06-13,Bærland skole,Ja,Ja,
2016-06-14,Bærland skole,Ja,Ja,
2016-06-15,Bærland skole,Ja,Ja,
2016-06-16,Bærland skole,Ja,Ja,
2016-06-17,Bærland skole,Ja,Ja,
2016-06-18,Bærland skole,Nei,Nei,Lørdag
2016-06-19,Bærland skole,Nei,Nei,Søndag
2016-06-20,Bærland skole,Ja,Ja,
2016-06-21,Bærland skole,Ja,Ja,
2016-06-22,Bærland skole,Ja,Ja,Siste skoledag før sommerferien 
2016-06-23,Bærland skole,Nei,Ja,Sommerferie1
2016-06-24,Bærland skole,Nei,Ja,Sommerferie2
2016-06-25,Bærland skole,Nei,Nei,Lørdag
2016-06-26,Bærland skole,Nei,Nei,Søndag
2016-06-27,Bærland skole,Nei,Ja,Sommerferie3
2016-06-28,Bærland skole,Nei,Ja,Sommerferie4
2016-06-29,Bærland skole,Nei,Ja,Sommerferie5
2016-06-30,Bærland skole,Nei,Ja,Sommerferie6
2016-07-01,Bærland skole,Nei,Nei,Sommerferie7
2016-07-02,Bærland skole,Nei,Nei,Lørdag
2016-07-03,Bærland skole,Nei,Nei,Søndag
2016-07-04,Bærland skole,Nei,Nei,Sommerferie8
2016-07-05,Bærland skole,Nei,Nei,Sommerferie9
2016-07-06,Bærland skole,Nei,Nei,Sommerferie10
2016-07-07,Bærland skole,Nei,Nei,Sommerferie11
2016-07-08,Bærland skole,Nei,Nei,Sommerferie12
2016-07-09,Bærland skole,Nei,Nei,Lørdag
2016-07-10,Bærland skole,Nei,Nei,Søndag
2016-07-11,Bærland skole,Nei,Nei,Sommerferie13
2016-07-12,Bærland skole,Nei,Nei,Sommerferie14
2016-07-13,Bærland skole,Nei,Nei,Sommerferie15
