dato,skole,elevdag,laererdag,sfodag,kommentar
2017-08-01,Harestad skole,nei,nei,ja,SFO oppstart
2017-08-02,Harestad skole,nei,nei,ja,
2017-08-03,Harestad skole,nei,nei,ja,
2017-08-04,Harestad skole,nei,nei,ja,
2017-08-05,Harestad skole,nei,nei,nei,lørdag
2017-08-06,Harestad skole,nei,nei,nei,søndag
2017-08-07,Harestad skole,nei,nei,ja,
2017-08-08,Harestad skole,nei,nei,ja,
2017-08-09,Harestad skole,nei,nei,ja,
2017-08-10,Harestad skole,nei,nei,ja,
2017-08-11,Harestad skole,nei,nei,ja,
2017-08-12,Harestad skole,nei,nei,nei,lørdag
2017-08-13,Harestad skole,nei,nei,nei,søndag
2017-08-14,Harestad skole,nei,ja,ja,Plandag
2017-08-15,Harestad skole,nei,ja,nei,Plandag
2017-08-16,Harestad skole,nei,ja,nei,Plandag
2017-08-17,Harestad skole,nei,ja,ja,Plandag
2017-08-18,Harestad skole,ja,ja,ja,skolestart
2017-08-19,Harestad skole,nei,nei,nei,lørdag
2017-08-20,Harestad skole,nei,nei,nei,søndag
2017-08-21,Harestad skole,ja,ja,ja,
2017-08-22,Harestad skole,ja,ja,ja,
2017-08-23,Harestad skole,ja,ja,ja,
2017-08-24,Harestad skole,ja,ja,ja,
2017-08-25,Harestad skole,ja,ja,ja,
2017-08-26,Harestad skole,nei,nei,nei,lørdag
2017-08-27,Harestad skole,nei,nei,nei,søndag
2017-08-28,Harestad skole,ja,ja,ja,
2017-08-29,Harestad skole,ja,ja,ja,
2017-08-30,Harestad skole,ja,ja,ja,
2017-08-31,Harestad skole,ja,ja,ja,
2017-09-01,Harestad skole,ja,ja,ja,
2017-09-02,Harestad skole,nei,nei,nei,lørdag
2017-09-03,Harestad skole,nei,nei,nei,søndag
2017-09-04,Harestad skole,ja,ja,ja,
2017-09-05,Harestad skole,ja,ja,ja,
2017-09-06,Harestad skole,ja,ja,ja,
2017-09-07,Harestad skole,ja,ja,ja,
2017-09-08,Harestad skole,ja,ja,ja,
2017-09-09,Harestad skole,nei,nei,nei,lørdag
2017-09-10,Harestad skole,nei,nei,nei,søndag
2017-09-11,Harestad skole,ja,ja,ja,
2017-09-12,Harestad skole,ja,ja,ja,
2017-09-13,Harestad skole,ja,ja,ja,
2017-09-14,Harestad skole,ja,ja,ja,
2017-09-15,Harestad skole,ja,ja,ja,
2017-09-16,Harestad skole,nei,nei,nei,lørdag
2017-09-17,Harestad skole,nei,nei,nei,søndag
2017-09-18,Harestad skole,ja,ja,ja,
2017-09-19,Harestad skole,ja,ja,ja,
2017-09-20,Harestad skole,ja,ja,ja,
2017-09-21,Harestad skole,ja,ja,ja,
2017-09-22,Harestad skole,ja,ja,ja,
2017-09-23,Harestad skole,nei,nei,nei,lørdag
2017-09-24,Harestad skole,nei,nei,nei,søndag
2017-09-25,Harestad skole,ja,ja,ja,
2017-09-26,Harestad skole,ja,ja,ja,
2017-09-27,Harestad skole,ja,ja,ja,
2017-09-28,Harestad skole,ja,ja,ja,
2017-09-29,Harestad skole,ja,ja,ja,
2017-09-30,Harestad skole,nei,nei,nei,lørdag
2017-10-01,Harestad skole,nei,nei,nei,søndag
2017-10-02,Harestad skole,ja,ja,ja,
2017-10-03,Harestad skole,ja,ja,ja,
2017-10-04,Harestad skole,ja,ja,ja,
2017-10-05,Harestad skole,ja,ja,ja,
2017-10-06,Harestad skole,ja,ja,ja,
2017-10-07,Harestad skole,nei,nei,nei,lørdag
2017-10-08,Harestad skole,nei,nei,nei,søndag
2017-10-09,Harestad skole,nei,nei,ja,Høstferie
2017-10-10,Harestad skole,nei,nei,ja,Høstferie
2017-10-11,Harestad skole,nei,nei,ja,Høstferie
2017-10-12,Harestad skole,nei,nei,ja,Høstferie
2017-10-13,Harestad skole,nei,nei,ja,Høstferie
2017-10-14,Harestad skole,nei,nei,nei,lørdag
2017-10-15,Harestad skole,nei,nei,nei,søndag
2017-10-16,Harestad skole,ja,ja,ja,
2017-10-17,Harestad skole,ja,ja,ja,
2017-10-18,Harestad skole,ja,ja,ja,
2017-10-19,Harestad skole,ja,ja,ja,
2017-10-20,Harestad skole,ja,ja,ja,
2017-10-21,Harestad skole,nei,nei,nei,lørdag
2017-10-22,Harestad skole,nei,nei,nei,søndag
2017-10-23,Harestad skole,ja,ja,ja,
2017-10-24,Harestad skole,ja,ja,ja,
2017-10-25,Harestad skole,ja,ja,ja,
2017-10-26,Harestad skole,ja,ja,ja,
2017-10-27,Harestad skole,ja,ja,ja,
2017-10-28,Harestad skole,nei,nei,nei,lørdag
2017-10-29,Harestad skole,nei,nei,nei,søndag
2017-10-30,Harestad skole,ja,ja,ja,
2017-10-31,Harestad skole,ja,ja,ja,
2017-11-01,Harestad skole,ja,ja,ja,
2017-11-02,Harestad skole,ja,ja,ja,
2017-11-03,Harestad skole,ja,ja,ja,
2017-11-04,Harestad skole,nei,nei,nei,lørdag
2017-11-05,Harestad skole,nei,nei,nei,søndag
2017-11-06,Harestad skole,ja,ja,ja,
2017-11-07,Harestad skole,ja,ja,ja,
2017-11-08,Harestad skole,ja,ja,ja,
2017-11-09,Harestad skole,ja,ja,ja,
2017-11-10,Harestad skole,ja,ja,ja,
2017-11-11,Harestad skole,nei,nei,nei,lørdag
2017-11-12,Harestad skole,nei,nei,nei,søndag
2017-11-13,Harestad skole,ja,ja,ja,
2017-11-14,Harestad skole,ja,ja,ja,
2017-11-15,Harestad skole,ja,ja,ja,
2017-11-16,Harestad skole,ja,ja,ja,
2017-11-17,Harestad skole,nei,ja,nei,Plandag
2017-11-18,Harestad skole,nei,nei,nei,lørdag
2017-11-19,Harestad skole,nei,nei,nei,søndag
2017-11-20,Harestad skole,ja,ja,ja,
2017-11-21,Harestad skole,ja,ja,ja,
2017-11-22,Harestad skole,ja,ja,ja,
2017-11-23,Harestad skole,ja,ja,ja,
2017-11-24,Harestad skole,ja,ja,ja,
2017-11-25,Harestad skole,nei,nei,nei,lørdag
2017-11-26,Harestad skole,nei,nei,nei,søndag
2017-11-27,Harestad skole,ja,ja,ja,
2017-11-28,Harestad skole,ja,ja,ja,
2017-11-29,Harestad skole,ja,ja,ja,
2017-11-30,Harestad skole,ja,ja,ja,
2017-12-01,Harestad skole,ja,ja,ja,
