dato,skole,elevdag,laererdag,sfodag,kommentar,,,,,,
01-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
02-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
03-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
04-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
05-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
06-08-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
07-08-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
08-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
09-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
10-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
11-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
12-08-16,Auglend skole,Nei,Nei,Ja,,,,,,,
13-08-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
14-08-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
15-08-16,Auglend skole,Nei,Ja,Nei,Planleggingsdag,,,,,,
16-08-16,Auglend skole,Nei,Ja,Ja,Planleggingsdag,,,,,,
17-08-16,Auglend skole,Nei,Ja,Ja,Planleggingsdag,,,,,,
18-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
19-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
20-08-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
21-08-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
22-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
23-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
24-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
25-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
26-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
27-08-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
28-08-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
29-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
30-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
31-08-16,Auglend skole,Ja,Ja,Ja,,,,,,,
01-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
02-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
03-09-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
04-09-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
05-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
06-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
07-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
08-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
09-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
10-09-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
11-09-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
12-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
13-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
14-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
15-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
16-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
17-09-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
18-09-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
19-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
20-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
21-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
22-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
23-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
24-09-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
25-09-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
26-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
27-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
28-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
29-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
30-09-16,Auglend skole,Ja,Ja,Ja,,,,,,,
01-10-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
02-10-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
03-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
04-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
05-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
06-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
07-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
08-10-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
09-10-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
10-10-16,Auglend skole,Nei,Nei,Ja,Høstferie,,,,,,
11-10-16,Auglend skole,Nei,Nei,Ja,Høstferie,,,,,,
12-10-16,Auglend skole,Nei,Nei,Ja,Høstferie,,,,,,
13-10-16,Auglend skole,Nei,Nei,Ja,Høstferie,,,,,,
14-10-16,Auglend skole,Nei,Nei,Ja,Høstferie,,,,,,
15-10-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
16-10-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
17-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
18-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
19-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
20-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
21-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
22-10-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
23-10-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
24-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
25-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
26-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
27-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
28-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
29-10-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
30-10-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
31-10-16,Auglend skole,Ja,Ja,Ja,,,,,,,
01-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
02-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
03-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
04-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
05-11-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
06-11-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
07-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
08-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
09-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
10-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
11-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
12-11-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
13-11-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
14-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
15-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
16-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
17-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
18-11-16,Auglend skole,Nei,Ja,Nei,Planleggingsdag,,,,,,
19-11-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
20-11-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
21-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
22-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
23-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
24-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
25-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
26-11-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
27-11-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
28-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
29-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
30-11-16,Auglend skole,Ja,Ja,Ja,,,,,,,
01-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
02-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
03-12-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
04-12-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
05-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
06-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
07-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
08-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
09-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
10-12-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
11-12-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
12-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
13-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
14-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
15-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
16-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
17-12-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
18-12-16,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
19-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
20-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
21-12-16,Auglend skole,Ja,Ja,Ja,,,,,,,
22-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
23-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
24-12-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
25-12-16,Auglend skole,Nei,Nei,Nei,1. juledag,,,,,,
26-12-16,Auglend skole,Nei,Nei,Nei,2. juledag,,,,,,
27-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
28-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
29-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
30-12-16,Auglend skole,Nei,Nei,Ja,Juleferie,,,,,,
31-12-16,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
01-01-17,Auglend skole,Nei,Nei,Nei,1. Nyttårsdag,,,,,,
02-01-17,Auglend skole,Nei,Ja,Ja,Planleggingsdag,,,,,,
03-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
04-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
05-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
06-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
07-01-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
08-01-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
09-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
10-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
11-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
12-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
13-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
14-01-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
15-01-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
16-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
17-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
18-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
19-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
20-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
21-01-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
22-01-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
23-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
24-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
25-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
26-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
27-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
28-01-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
29-01-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
30-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
31-01-17,Auglend skole,Ja,Ja,Ja,,,,,,,
01-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
02-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
03-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
04-02-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
05-02-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
06-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
07-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
08-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
09-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
10-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
11-02-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
12-02-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
13-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
14-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
15-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
16-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
17-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
18-02-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
19-02-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
20-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
21-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
22-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
23-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
24-02-17,Auglend skole,Ja,Ja,Ja,,,,,,,
25-02-17,Auglend skole,Nei,Nei,Nei,Lørdag,,,,,,
26-02-17,Auglend skole,Nei,Nei,Nei,Søndag,,,,,,
27-02-17,Auglend skole,Nei,Nei,Ja,Vinterferie,,,,,,
28-02-17,Auglend skole,Nei,Nei,Ja,Vinterferie,,,,,,
01-03-17,Auglend skole,Nei,Nei,Ja,Vinterferie,,,,,,
02-03-17,Auglend skole,Nei,Nei,Ja,Vinterferie,,,,,,
03-03-17,Auglend skole,Nei,Nei,Ja,Vinterferie,,,,,,
