dato,skole,elevdag,laererdag,sfodag,kommentar
2016-08-01,Berg skole,nei,nei,nei,Sommerferie
2016-08-02,Berg skole,nei,nei,nei,Sommerferie
2016-08-03,Berg skole,nei,nei,nei,Sommerferie
2016-08-04,Berg skole,nei,nei,nei,Sommerferie
2016-08-05,Berg skole,nei,nei,nei,Sommerferie
2016-08-06,Berg skole,nei,nei,nei,Sommerferie
2016-08-07,Berg skole,nei,nei,nei,Sommerferie
2016-08-08,Berg skole,nei,nei,nei,Sommerferie
2016-08-09,Berg skole,nei,nei,nei,Sommerferie
2016-08-10,Berg skole,nei,nei,nei,Sommerferie
2016-08-11,Berg skole,nei,nei,nei,Sommerferie
2016-08-12,Berg skole,nei,nei,nei,Sommerferie
2016-08-13,Berg skole,nei,nei,nei,Sommerferie
2016-08-14,Berg skole,nei,nei,nei,Sommerferie
2016-08-15,Berg skole,ja,ja,ja,Skolestart
2016-08-16,Berg skole,ja,ja,ja,
2016-08-17,Berg skole,ja,ja,ja,
2016-08-18,Berg skole,ja,ja,ja,
2016-08-19,Berg skole,ja,ja,ja,
2016-08-20,Berg skole,nei,nei,nei,Lørdag
2016-08-21,Berg skole,nei,nei,nei,Søndag 
2016-08-22,Berg skole,ja,ja,ja,
2016-08-23,Berg skole,ja,ja,ja,
2016-08-24,Berg skole,ja,ja,ja,
2016-08-25,Berg skole,ja,ja,ja,
2016-08-26,Berg skole,ja,ja,ja,
2016-08-27,Berg skole,nei,nei,nei,Lørdag
2016-08-28,Berg skole,nei,nei,nei,Søndag 
2016-08-29,Berg skole,ja,ja,ja,
2016-08-30,Berg skole,ja,ja,ja,
2016-08-31,Berg skole,ja,ja,ja,
2016-09-01,Berg skole,ja,ja,ja,
2016-09-02,Berg skole,ja,ja,ja,
2016-09-03,Berg skole,nei,nei,nei,Lørdag
2016-09-04,Berg skole,nei,nei,nei,Søndag 
2016-09-05,Berg skole,ja,ja,ja,
2016-09-06,Berg skole,ja,ja,ja,
2016-09-07,Berg skole,ja,ja,ja,
2016-09-08,Berg skole,ja,ja,ja,
2016-09-09,Berg skole,ja,ja,ja,
2016-09-10,Berg skole,nei,nei,nei,Lørdag
2016-09-11,Berg skole,nei,nei,nei,Søndag 
2016-09-12,Berg skole,ja,ja,ja,
2016-09-13,Berg skole,ja,ja,ja,
2016-09-14,Berg skole,ja,ja,ja,
2016-09-15,Berg skole,ja,ja,ja,
2016-09-16,Berg skole,ja,ja,ja,
2016-09-17,Berg skole,nei,nei,nei,Lørdag
2016-09-18,Berg skole,nei,nei,nei,Søndag 
2016-09-19,Berg skole,ja,ja,ja,
2016-09-20,Berg skole,ja,ja,ja,
2016-09-21,Berg skole,ja,ja,ja,
2016-09-22,Berg skole,ja,ja,ja,
2016-09-23,Berg skole,ja,ja,ja,
2016-09-24,Berg skole,nei,nei,nei,Lørdag
2016-09-25,Berg skole,nei,nei,nei,Søndag 
2016-09-26,Berg skole,ja,ja,ja,
2016-09-27,Berg skole,ja,ja,ja,
2016-09-28,Berg skole,ja,ja,ja,
2016-09-29,Berg skole,ja,ja,ja,
2016-09-30,Berg skole,ja,ja,ja,
2016-10-01,Berg skole,nei,nei,nei,Lørdag
2016-10-02,Berg skole,nei,nei,nei,Søndag 
2016-10-03,Berg skole,ja,ja,ja,
2016-10-04,Berg skole,ja,ja,ja,
2016-10-05,Berg skole,ja,ja,ja,
2016-10-06,Berg skole,ja,ja,ja,
2016-10-07,Berg skole,ja,ja,ja,
2016-10-08,Berg skole,nei,nei,nei,Lørdag
2016-10-09,Berg skole,nei,nei,nei,Søndag 
2016-10-10,Berg skole,nei,nei,nei,Høstferie
2016-10-11,Berg skole,nei,nei,nei,Høstferie
2016-10-12,Berg skole,nei,nei,nei,Høstferie
2016-10-13,Berg skole,nei,nei,nei,Høstferie
2016-10-14,Berg skole,nei,nei,nei,Høstferie
2016-10-15,Berg skole,nei,nei,nei,Lørdag
2016-10-16,Berg skole,nei,nei,nei,Søndag 
2016-10-17,Berg skole,Ja,Ja,Ja,
2016-10-18,Berg skole,Ja,Ja,Ja,
2016-10-19,Berg skole,Ja,Ja,Ja,
2016-10-20,Berg skole,Ja,Ja,Ja,
2016-10-21,Berg skole,Ja,Ja,Ja,
2016-10-22,Berg skole,nei,nei,nei,Lørdag
2016-10-23,Berg skole,nei,nei,nei,Søndag 
2016-10-24,Berg skole,Ja,Ja,Ja,
2016-10-25,Berg skole,Ja,Ja,Ja,
2016-10-26,Berg skole,Ja,Ja,Ja,
2016-10-27,Berg skole,Ja,Ja,Ja,
2016-10-28,Berg skole,Ja,Ja,Ja,
2016-10-29,Berg skole,nei,nei,nei,Lørdag
2016-10-30,Berg skole,nei,nei,nei,Søndag 
2016-10-31,Berg skole,ja,ja,ja,
2016-11-01,Berg skole,ja,ja,ja,
2016-11-02,Berg skole,ja,ja,ja,
2016-11-03,Berg skole,ja,ja,ja,
2016-11-04,Berg skole,ja,ja,ja,
2016-11-05,Berg skole,nei,nei,nei,Lørdag
2016-11-06,Berg skole,nei,nei,nei,Søndag 
2016-11-07,Berg skole,ja,ja,ja,
2016-11-08,Berg skole,ja,ja,ja,
2016-11-09,Berg skole,ja,ja,ja,
2016-11-10,Berg skole,ja,ja,ja,
2016-11-11,Berg skole,ja,ja,ja,
2016-11-12,Berg skole,nei,nei,nei,Lørdag
2016-11-13,Berg skole,nei,nei,nei,Søndag 
2016-11-14,Berg skole,ja,ja,ja,
2016-11-15,Berg skole,ja,ja,ja,
2016-11-16,Berg skole,ja,ja,ja,
2016-11-17,Berg skole,ja,ja,ja,
2016-11-18,Berg skole,ja,ja,ja,
2016-11-19,Berg skole,nei,nei,nei,Lørdag
2016-11-20,Berg skole,nei,nei,nei,Søndag 
2016-11-21,Berg skole,ja,ja,ja,
